Index,Season,Episode,Counts of Michael replicas
0,1,1,97
1,1,2,102
2,1,3,68
3,1,4,110
4,1,5,132
5,1,6,127
6,2,1,137
7,2,2,111
8,2,3,119
9,2,4,79
10,2,5,149
11,2,6,102
12,2,7,86
13,2,8,147
14,2,9,128
15,2,10,93
16,2,11,116
17,2,12,146
18,2,13,114
19,2,14,126
20,2,15,88
21,2,16,53
22,2,17,74
23,2,18,81
24,2,19,98
25,2,20,62
26,2,21,95
27,2,22,111
28,3,1,63
29,3,2,121
30,3,3,81
31,3,4,105
32,3,5,44
33,3,6,76
34,3,7,67
35,3,8,149
36,3,9,54
37,3,10,115
38,3,11,100
39,3,12,47
40,3,13,49
41,3,14,76
42,3,15,49
43,3,16,64
44,3,17,84
45,3,18,107
46,3,19,102
47,3,20,68
48,3,21,92
49,3,22,144
50,3,23,122
51,4,1,158
52,4,2,68
53,4,3,155
54,4,4,158
55,4,5,91
56,4,6,90
57,4,7,82
58,4,9,101
59,4,10,100
60,4,11,103
61,4,12,98
62,4,13,75
63,4,14,167
64,5,1,129
65,5,2,64
66,5,3,82
67,5,4,75
68,5,5,101
69,5,6,72
70,5,7,76
71,5,8,90
72,5,9,99
73,5,10,65
74,5,11,51
75,5,12,90
76,5,13,118
77,5,14,54
78,5,15,48
79,5,16,86
80,5,17,112
81,5,19,87
82,5,20,78
83,5,21,45
84,5,22,94
85,5,23,74
86,5,24,94
87,5,25,85
88,5,26,55
89,6,1,94
90,6,2,70
91,6,3,85
92,6,4,129
93,6,5,121
94,6,6,85
95,6,7,84
96,6,8,114
97,6,9,67
98,6,10,71
99,6,11,67
100,6,12,95
101,6,13,43
102,6,14,81
103,6,15,67
104,6,16,117
105,6,17,51
106,6,18,84
107,6,19,73
108,6,20,46
109,6,21,85
110,6,22,92
111,6,23,81
112,6,24,66
113,7,1,58
114,7,2,31
115,7,3,43
116,7,4,88
117,7,5,84
118,7,6,59
119,7,7,74
120,7,8,56
121,7,9,65
122,7,10,56
123,7,11,130
124,7,12,75
125,7,13,36
126,7,14,42
127,7,15,73
128,7,16,74
129,7,17,57
130,7,18,72
131,7,19,67
132,7,20,81
133,7,21,115
134,7,22,0
135,7,23,0
136,7,24,0
137,8,1,0
138,8,2,0
139,8,3,0
140,8,4,0
141,8,5,0
142,8,6,0
143,8,7,0
144,8,8,0
145,8,9,0
146,8,10,0
147,8,11,0
148,8,12,0
149,8,13,0
150,8,14,0
151,8,15,0
152,8,16,0
153,8,17,0
154,8,18,0
155,8,19,0
156,8,20,0
157,8,21,0
158,8,22,0
159,8,23,0
160,8,24,0
161,9,1,0
162,9,2,0
163,9,3,0
164,9,4,0
165,9,5,0
166,9,6,0
167,9,7,0
168,9,8,0
169,9,9,0
170,9,10,0
171,9,11,0
172,9,12,0
173,9,13,0
174,9,14,0
175,9,15,0
176,9,16,0
177,9,17,0
178,9,18,0
179,9,19,0
180,9,20,0
181,9,21,0
182,9,22,0
183,9,23,2
